ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE
Other cardiac arrhythmias	cardiac arrythmia	EFO_0004269	Exact	I49
"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"	occlusion precerebral artery	EFO_0009677	Exact	I65
Other disorders of arteries and arterioles	vascular disease	EFO_0004264	Broad	I77
Diseases of capillaries	vascular disease	EFO_0004264	Broad	I78
Other venous embolism and thrombosis	venous thromboembolism	EFO_0004286	Exact	I82
Other disorders of veins	vascular disease	EFO_0004264	Broad	I87
Other non-infective disorders of lymphatic vessels and lymph nodes	lymphatic system disease	EFO_0007352	Exact	I89
Other disorders of eyelid	eyelid disease	EFO_0009547	Exact	H02
Disorders of orbit	disease of orbital region	EFO_0009664	Exact	H05
Other disorders of conjunctiva	conjunctival disorder	EFO_1000203	Exact	H11
Other disorders of lens	lens disease	EFO_0009674	Exact	H27
Paralytic strabismus	paralytic strabismus	EFO_0009678	Exact	H49
Other strabismus	strabismus	HP_0000486	Exact	H50
Other disorders of eye and adnexa	eye adnexa disease	EFO_0009546	Exact	H57
"Postprocedural disorders of eye and adnexa, not elsewhere classified"	eye adnexa disease	EFO_0009546	Broad	H59
Other disorders of external ear	external ear disease	EFO_0009668	Exact	H61
Nonsuppurative otitis media	non-suppurative otitis media	EFO_0007415	Narrow	H65
Other disorders of Eustachian tube	eustachian tube disease	EFO_0009667	Exact	H69
Disorders of vestibular function	vestibular disease	EFO_0009691	Exact	H81
Other diseases of inner ear	inner ear disease	EFO_0009672	Exact	H83
Otalgia and effusion of ear	ear pain||otitis media with effusion	HP_0030766 | EFO_0007415	Exact	H92
"Other disorders of ear, not elsewhere classified"	auditory system disease	EFO_1001455	Exact	H93
Other demyelinating diseases of central nervous system	CNS demyelinating autoimmune disease	EFO_1000870	Narrow?	G37
Other mononeuropathies	mononeuropathy	EFO_0009558	Exact	G58
Other polyneuropathies	polyneuropathy	EFO_0009562	Exact	G62
Paraplegia and tetraplegia	paraplegia	EFO_0009679 | EFO_0009684	Exact	G82
Other disorders of brain	brain disease	EFO_0005774	Exact	G93
Other diseases of spinal cord	spinal cord disease	EFO_0009488	Exact	G95
Somatoform disorders	somatoform disorder	EFO_0009687	Exact	F45
Other non-toxic goitre	goiter	EFO_0004283	Broad	E04
Thyrotoxicosis [hyperthyroidism]	hyperthyroidism	EFO_0009189	Exact	E05
Other disorders of pancreatic internal secretion	pancreas disease	EFO_0009605	Broad	E16
"Other disorders of fluid, electrolyte and acid-base balance"	abnormality of metabolism/homeostasis	HP_0001939	Exact	E87
Carcinoma in situ of other and unspecified genital organs	urogenital neoplasm	EFO_0003863	Broad	D07
Carcinoma in situ of other and unspecified sites	carcinoma	EFO_0000313	Broad	D09
Benign neoplasm of other and ill-defined parts of digestive system	digestive system neoplasm	EFO_0008549	Broad	D13
Benign neoplasm of middle ear and respiratory system	respiratory system neoplasm	EFO_0003853	Broad	D14
Benign neoplasm of bone and articular cartilage	bone neoplasm	EFO_0003820	Broad	D16
Benign lipomatous neoplasm	lipoma	EFO_0000759	Exact	D17
Other benign neoplasms of connective and other soft tissue	soft tissue neoplasm	EFO_1000541	Broad	D21
Melanocytic naevi	Melanocytic nevus	EFO_0009675	Exact	D22
Other benign neoplasms of skin	skin neoplasm	EFO_0004198	Broad	D23
Benign neoplasm of urinary organs	urogenital neoplasm	EFO_0003863	Broad	D30
Benign neoplasm of meninges	benign brain neoplasm	EFO_1000107	Broad	D32
Benign neoplasm of other and unspecified endocrine glands	endocrine neoplasm	EFO_0003769	Exact	D35
Benign neoplasm of other and unspecified sites	benign neoplasm	EFO_0002422	Exact	D36
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs	digestive system neoplasm	EFO_0008549	Exact	D37
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs	respiratory system neoplasm	EFO_0003853	Broad	D38
Neoplasm of uncertain or unknown behaviour of urinary organs	urogenital neoplasm	EFO_0003863	Broad	D41
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"	lymphoid neoplasm||common hematopoietic neoplasm	EFO_0001642||EFO_1000201	Exact	D47
Neoplasm of uncertain or unknown behaviour of other and unspecified sites	neoplasm	EFO_0000616	Broad	D48
Other aplastic anaemias	aplastic anemia	HP_0001915	Exact	D61
Other diseases of blood and blood-forming organs	hematologic disease	EFO_0005803	Exact	D75
"Other disorders involving the immune mechanism, not elsewhere classified"	immune system disease	EFO_0000540	Exact	D89
Other malignant neoplasms of skin	skin neoplasm	EFO_0004198	Broad	C44
Malignant neoplasm of other connective and soft tissue	soft tissue neoplasm	EFO_1000541	Broad	C49
Secondary malignant neoplasm of respiratory and digestive organs	respiratory system neoplasm||digestive system neoplasm	EFO_0003853||EFO_0008549	Broad	C78
Secondary malignant neoplasm of other sites	neoplasm	EFO_0000616	Broad	C79
Malignant neoplasm without specification of site	cancer	EFO_0000311	Broad	C80
Other and unspecified types of non-Hodgkin's lymphoma	non-Hodgkins lymphoma	EFO_0005952	Exact	C85
Candidiasis	"Candidiasis, Invasive"	EFO_1001283	Narrow	B37
Other bacterial intestinal infections	intestinal disease||bacterial disease	EFO_0009431||EFO_0000771	Broad	A04
Viral and other specified intestinal infections	intestinal disease||viral disease	EFO_0009431||EFO_0000763	Broad	A08
"Other predominantly sexually transmitted diseases, not elsewhere classified"	bacterial sexually transmitted disease	EFO_0003955	Narrow	A63
Other disorders of adrenal gland	adrenal gland disease	EFO_0005539	Exact	E27
